x,y,z,res
129,258,1537,39364.96379
130,260,1549,39977.26943
131,262,1561,40594.30052
132,264,1573,41216.05705
133,266,1585,41842.53902
134,268,1597,42473.74643
135,270,1609,43109.67928
136,272,1621,43750.33758
137,274,1633,44395.72131
138,276,1645,45045.83049
139,278,1657,45700.66511
140,280,1669,46360.22518
141,282,1681,47024.51068
142,284,1693,47693.52163
143,286,1705,48367.25802
144,288,1717,49045.71985
145,290,1729,49728.90712
146,292,1741,50416.81984
147,294,1753,51109.45799
148,296,1765,51806.82159
149,298,1777,52508.91063
150,300,1789,53215.72511
151,302,1801,53927.26504
152,304,1813,54643.5304
153,306,1825,55364.52121
154,308,1837,56090.23746
155,310,1849,56820.67915
156,312,1861,57555.84628
157,314,1873,58295.73886
158,316,1885,59040.35688
159,318,1897,59789.70033
160,320,1909,60543.76924
161,322,1921,61302.56358
162,324,1933,62066.08336
163,326,1945,62834.32859
164,328,1957,63607.29926
165,330,1969,64384.99537
166,332,1981,65167.41692
167,334,1993,65954.56391
168,336,2005,66746.43635
169,338,2017,67543.03422
170,340,2029,68344.35754
171,342,2041,69150.4063
172,344,2053,69961.1805
173,346,2065,70776.68015
174,348,2077,71596.90523
175,350,2089,72421.85576
176,352,2101,73251.53173
177,354,2113,74085.93314
178,356,2125,74925.05999
179,358,2137,75768.91229
180,360,2149,76617.49003
181,362,2161,77470.7932
182,364,2173,78328.82182
183,366,2185,79191.57589
184,368,2197,80059.05539
185,370,2209,80931.26033
186,372,2221,81808.19072
187,374,2233,82689.84655
188,376,2245,83576.22782
189,378,2257,84467.33453
190,380,2269,85363.16669
191,382,2281,86263.72428
192,384,2293,87169.00732
193,386,2305,88079.0158
194,388,2317,88993.74972
195,390,2329,89913.20909
196,392,2341,90837.39389
197,394,2353,91766.30414
198,396,2365,92699.93982
199,398,2377,93638.30095
200,400,2389,94581.38753
201,402,2401,95529.19954
202,404,2413,96481.73699
203,406,2425,97438.99989
204,408,2437,98400.98823
205,410,2449,99367.70201
206,412,2461,100339.1412
207,414,2473,101315.3059
208,416,2485,102296.196
209,418,2497,103281.8115
210,420,2509,104272.1525
211,422,2521,105267.219
212,424,2533,106267.0108
213,426,2545,107271.5282
214,428,2557,108280.7709
215,430,2569,109294.7391
216,432,2581,110313.4327
217,434,2593,111336.8518
218,436,2605,112364.9964
219,438,2617,113397.8663
220,440,2629,114435.4617
221,442,2641,115477.7826
222,444,2653,116524.8289
223,446,2665,117576.6006
224,448,2677,118633.0978
225,450,2689,119694.3204
226,452,2701,120760.2684
227,454,2713,121830.9419
228,456,2725,122906.3409
229,458,2737,123986.4653
230,460,2749,125071.3151
231,462,2761,126160.8903
232,464,2773,127255.1911
233,466,2785,128354.2172
234,468,2797,129457.9688
235,470,2809,130566.4458
236,472,2821,131679.6483
237,474,2833,132797.5762
238,476,2845,133920.2296
239,478,2857,135047.6084
240,480,2869,136179.7126
241,482,2881,137316.5423
242,484,2893,138458.0974
243,486,2905,139604.378
244,488,2917,140755.384
245,490,2929,141911.1154
246,492,2941,143071.5723
247,494,2953,144236.7547
248,496,2965,145406.6624
249,498,2977,146581.2957
250,500,2989,147760.6543
251,502,3001,148944.7384
252,504,3013,150133.5479
253,506,3025,151327.0829
254,508,3037,152525.3434
255,510,3049,153728.3292
256,512,3061,154936.0405
257,514,3073,156148.4773
258,516,3085,157365.6395
259,518,3097,158587.5271
260,520,3109,159814.1402
261,522,3121,161045.4787
262,524,3133,162281.5427
263,526,3145,163522.3321
264,528,3157,164767.8469
265,530,3169,166018.0872
266,532,3181,167273.0529
267,534,3193,168532.7441
268,536,3205,169797.1607
269,538,3217,171066.3027
270,540,3229,172340.1702
271,542,3241,173618.7631
272,544,3253,174902.0815
273,546,3265,176190.1253
274,548,3277,177482.8946
275,550,3289,178780.3893
276,552,3301,180082.6094
277,554,3313,181389.555
278,556,3325,182701.226
279,558,3337,184017.6225
280,560,3349,185338.7444
281,562,3361,186664.5918
282,564,3373,187995.1646
283,566,3385,189330.4628
284,568,3397,190670.4865
285,570,3409,192015.2356
286,572,3421,193364.7101
287,574,3433,194718.9101
288,576,3445,196077.8356
289,578,3457,197441.4865
290,580,3469,198809.8628
291,582,3481,200182.9646
292,584,3493,201560.7918
293,586,3505,202943.3444
294,588,3517,204330.6225
295,590,3529,205722.626
296,592,3541,207119.355
297,594,3553,208520.8094
298,596,3565,209926.9893
299,598,3577,211337.8946
300,600,3589,212753.5253
301,602,3601,214173.8815
302,604,3613,215598.9631
303,606,3625,217028.7702
304,608,3637,218463.3027
305,610,3649,219902.5607
306,612,3661,221346.5441
307,614,3673,222795.2529
308,616,3685,224248.6872
309,618,3697,225706.8469
310,620,3709,227169.7321
311,622,3721,228637.3427
312,624,3733,230109.6787
313,626,3745,231586.7402
314,628,3757,233068.5271
315,630,3769,234555.0395
316,632,3781,236046.2773
317,634,3793,237542.2405
318,636,3805,239042.9292
319,638,3817,240548.3434
320,640,3829,242058.4829
321,642,3841,243573.3479
322,644,3853,245092.9384
323,646,3865,246617.2543
324,648,3877,248146.2956
325,650,3889,249680.0624
326,652,3901,251218.5547
327,654,3913,252761.7723
328,656,3925,254309.7154
329,658,3937,255862.384
330,660,3949,257419.778
331,662,3961,258981.8974
332,664,3973,260548.7423
333,666,3985,262120.3126
334,668,3997,263696.6084
335,670,4009,265277.6296
336,672,4021,266863.3762
337,674,4033,268453.8483
338,676,4045,270049.0458
339,678,4057,271648.9688
340,680,4069,273253.6172
341,682,4081,274862.991
342,684,4093,276477.0903
343,686,4105,278095.9151
344,688,4117,279719.4652
345,690,4129,281347.7409
346,692,4141,282980.7419
347,694,4153,284618.4684
348,696,4165,286260.9204
349,698,4177,287908.0977
350,700,4189,289560.0006
351,702,4201,291216.6288
352,704,4213,292877.9825
353,706,4225,294544.0617
354,708,4237,296214.8663
355,710,4249,297890.3963
356,712,4261,299570.6518
357,714,4273,301255.6327
358,716,4285,302945.3391
359,718,4297,304639.7709
360,720,4309,306338.9281
361,722,4321,308042.8108
362,724,4333,309751.4189
363,726,4345,311464.7525
364,728,4357,313182.8115
365,730,4369,314905.596
366,732,4381,316633.1058
367,734,4393,318365.3412
368,736,4405,320102.302
369,738,4417,321843.9882
370,740,4429,323590.3998
371,742,4441,325341.5369
372,744,4453,327097.3995
373,746,4465,328857.9875
374,748,4477,330623.3009
375,750,4489,332393.3397
376,752,4501,334168.1041
377,754,4513,335947.5938
378,756,4525,337731.809
379,758,4537,339520.7496
380,760,4549,341314.4157
381,762,4561,343112.8072
382,764,4573,344915.9242
383,766,4585,346723.7666
384,768,4597,348536.3344
385,770,4609,350353.6277
386,772,4621,352175.6464
387,774,4633,354002.3906
388,776,4645,355833.8602
389,778,4657,357670.0553
390,780,4669,359510.9758
391,782,4681,361356.6217
392,784,4693,363206.9931
393,786,4705,365062.0899
394,788,4717,366921.9121
395,790,4729,368786.4598
396,792,4741,370655.733
397,794,4753,372529.7316
398,796,4765,374408.4556
399,798,4777,376291.9051
400,800,4789,378180.08
401,802,4801,380072.9803
402,804,4813,381970.6061
403,806,4825,383872.9573
404,808,4837,385780.034
405,810,4849,387691.8361
406,812,4861,389608.3637
407,814,4873,391529.6167
408,816,4885,393455.5951
409,818,4897,395386.299
410,820,4909,397321.7283
411,822,4921,399261.8831
412,824,4933,401206.7633
413,826,4945,403156.369
414,828,4957,405110.7001
415,830,4969,407069.7566
416,832,4981,409033.5386
417,834,4993,411002.046
418,836,5005,412975.2788
419,838,5017,414953.2371
420,840,5029,416935.9209
421,842,5041,418923.3301
422,844,5053,420915.4647
423,846,5065,422912.3248
424,848,5077,424913.9103
425,850,5089,426920.2212
426,852,5101,428931.2576
427,854,5113,430947.0195
428,856,5125,432967.5067
429,858,5137,434992.7194
430,860,5149,437022.6576
431,862,5161,439057.3212
432,864,5173,441096.7102
433,866,5185,443140.8247
434,868,5197,445189.6647
435,870,5209,447243.23
436,872,5221,449301.5208
437,874,5233,451364.5371
438,876,5245,453432.2788
439,878,5257,455504.7459
440,880,5269,457581.9385
441,882,5281,459663.8565
442,884,5293,461750.5
443,886,5305,463841.8689
444,888,5317,465937.9632
445,890,5329,468038.783
446,892,5341,470144.3282
447,894,5353,472254.5989
448,896,5365,474369.595
449,898,5377,476489.3165
450,900,5389,478613.7635
451,902,5401,480742.936
452,904,5413,482876.8338
453,906,5425,485015.4571
454,908,5437,487158.8059
455,910,5449,489306.8801
456,912,5461,491459.6797
457,914,5473,493617.2048
458,916,5485,495779.4554
459,918,5497,497946.4313
460,920,5509,500118.1327
461,922,5521,502294.5596
462,924,5533,504475.7119
463,926,5545,506661.5896
464,928,5557,508852.1928
465,930,5569,511047.5214
466,932,5581,513247.5755
467,934,5593,515452.355
468,936,5605,517661.8599
469,938,5617,519876.0903
470,940,5629,522095.0461
471,942,5641,524318.7274
472,944,5653,526547.1341
473,946,5665,528780.2662
474,948,5677,531018.1238
475,950,5689,533260.7069
476,952,5701,535508.0153
477,954,5713,537760.0492
478,956,5725,540016.8086
479,958,5737,542278.2934
480,960,5749,544544.5036
481,962,5761,546815.4393
482,964,5773,549091.1005
483,966,5785,551371.487
484,968,5797,553656.599
485,970,5809,555946.4365
486,972,5821,558240.9994
487,974,5833,560540.2877
488,976,5845,562844.3015
489,978,5857,565153.0407
490,980,5869,567466.5054
491,982,5881,569784.6955
492,984,5893,572107.611
493,986,5905,574435.252
494,988,5917,576767.6184
495,990,5929,579104.7103
496,992,5941,581446.5276
497,994,5953,583793.0703
498,996,5965,586144.3385
499,998,5977,588500.3322
500,1000,5989,590861.0512
501,1002,6001,593226.4957
502,1004,6013,595596.6657
503,1006,6025,597971.5611
504,1008,6037,600351.1819
505,1010,6049,602735.5282
506,1012,6061,605124.6
507,1014,6073,607518.3971
508,1016,6085,609916.9197
509,1018,6097,612320.1678
510,1020,6109,614728.1413
511,1022,6121,617140.8402
512,1024,6133,619558.2646
513,1026,6145,621980.4144
514,1028,6157,624407.2896
515,1030,6169,626838.8903
516,1032,6181,629275.2165
517,1034,6193,631716.2681
518,1036,6205,634162.0451
519,1038,6217,636612.5476
520,1040,6229,639067.7755
521,1042,6241,641527.7288
522,1044,6253,643992.4076
523,1046,6265,646461.8118
524,1048,6277,648935.9415
525,1050,6289,651414.7966
526,1052,6301,653898.3772
527,1054,6313,656386.6832
528,1056,6325,658879.7146
529,1058,6337,661377.4715
530,1060,6349,663879.9538
531,1062,6361,666387.1616
532,1064,6373,668899.0948
533,1066,6385,671415.7535
534,1068,6397,673937.1376
535,1070,6409,676463.2471
536,1072,6421,678994.0821
537,1074,6433,681529.6425
538,1076,6445,684069.9283
539,1078,6457,686614.9396
540,1080,6469,689164.6764
541,1082,6481,691719.1386
542,1084,6493,694278.3262
543,1086,6505,696842.2392
544,1088,6517,699410.8778
545,1090,6529,701984.2417
546,1092,6541,704562.3311
547,1094,6553,707145.1459
548,1096,6565,709732.6862
549,1098,6577,712324.9519
550,1100,6589,714921.9431
551,1102,6601,717523.6597
552,1104,6613,720130.1017
553,1106,6625,722741.2692
554,1108,6637,725357.1621
555,1110,6649,727977.7805
556,1112,6661,730603.1243
557,1114,6673,733233.1935
558,1116,6685,735867.9882
559,1118,6697,738507.5084
560,1120,6709,741151.7539
561,1122,6721,743800.725
562,1124,6733,746454.4214
563,1126,6745,749112.8433
564,1128,6757,751775.9907
565,1130,6769,754443.8634
566,1132,6781,757116.4617
567,1134,6793,759793.7853
568,1136,6805,762475.8344
569,1138,6817,765162.609
570,1140,6829,767854.109
571,1142,6841,770550.3344
572,1144,6853,773251.2853
573,1146,6865,775956.9616
574,1148,6877,778667.3634
575,1150,6889,781382.4906
576,1152,6901,784102.3432
577,1154,6913,786826.9213
578,1156,6925,789556.2248
579,1158,6937,792290.2538
580,1160,6949,795029.0082
581,1162,6961,797772.488
582,1164,6973,800520.6933
583,1166,6985,803273.624
584,1168,6997,806031.2802
585,1170,7009,808793.6618
586,1172,7021,811560.7689
587,1174,7033,814332.6014
588,1176,7045,817109.1593
589,1178,7057,819890.4427
590,1180,7069,822676.4515
591,1182,7081,825467.1858
592,1184,7093,828262.6455
593,1186,7105,831062.8307
594,1188,7117,833867.7412
595,1190,7129,836677.3773
596,1192,7141,839491.7388
597,1194,7153,842310.8257
598,1196,7165,845134.638
599,1198,7177,847963.1758
600,1200,7189,850796.4391
601,1202,7201,853634.4277
602,1204,7213,856477.1419
603,1206,7225,859324.5814
604,1208,7237,862176.7464
605,1210,7249,865033.6369
606,1212,7261,867895.2528
607,1214,7273,870761.5941
608,1216,7285,873632.6609
609,1218,7297,876508.4531
610,1220,7309,879388.9708
611,1222,7321,882274.2139
612,1224,7333,885164.1824
613,1226,7345,888058.8764
614,1228,7357,890958.2958
615,1230,7369,893862.4407
616,1232,7381,896771.311
617,1234,7393,899684.9067
618,1236,7405,902603.2279
619,1238,7417,905526.2745
620,1240,7429,908454.0466
621,1242,7441,911386.5441
622,1244,7453,914323.7671
623,1246,7465,917265.7155
624,1248,7477,920212.3893
625,1250,7489,923163.7886
626,1252,7501,926119.9133
627,1254,7513,929080.7635
628,1256,7525,932046.3391
629,1258,7537,935016.6402
630,1260,7549,937991.6666
631,1262,7561,940971.4186
632,1264,7573,943955.8959
633,1266,7585,946945.0988
634,1268,7597,949939.027
635,1270,7609,952937.6807
636,1272,7621,955941.0599
637,1274,7633,958949.1644
638,1276,7645,961961.9945
639,1278,7657,964979.5499
640,1280,7669,968001.8308
641,1282,7681,971028.8372
642,1284,7693,974060.569
643,1286,7705,977097.0262
644,1288,7717,980138.2089
645,1290,7729,983184.117
646,1292,7741,986234.7505
647,1294,7753,989290.1095
648,1296,7765,992350.194
649,1298,7777,995415.0039
650,1300,7789,998484.5392
651,1302,7801,1001558.8
652,1304,7813,1004637.786
653,1306,7825,1007721.498
654,1308,7837,1010809.935
655,1310,7849,1013903.097
656,1312,7861,1017000.985
657,1314,7873,1020103.599
658,1316,7885,1023210.938
659,1318,7897,1026323.002
660,1320,7909,1029439.792
661,1322,7921,1032561.307
662,1324,7933,1035687.548
663,1326,7945,1038818.514
664,1328,7957,1041954.205
665,1330,7969,1045094.622
666,1332,7981,1048239.764
667,1334,7993,1051389.632
668,1336,8005,1054544.226
669,1338,8017,1057703.544
670,1340,8029,1060867.588
671,1342,8041,1064036.358
672,1344,8053,1067209.853
673,1346,8065,1070388.074
674,1348,8077,1073571.019
675,1350,8089,1076758.691
676,1352,8101,1079951.088
677,1354,8113,1083148.21
678,1356,8125,1086350.058
679,1358,8137,1089556.631
680,1360,8149,1092767.929
681,1362,8161,1095983.953
682,1364,8173,1099204.703
683,1366,8185,1102430.178
684,1368,8197,1105660.378
685,1370,8209,1108895.304
686,1372,8221,1112134.955
687,1374,8233,1115379.332
688,1376,8245,1118628.434
689,1378,8257,1121882.261
690,1380,8269,1125140.814
691,1382,8281,1128404.093
692,1384,8293,1131672.097
693,1386,8305,1134944.826
694,1388,8317,1138222.281
695,1390,8329,1141504.461
696,1392,8341,1144791.366
697,1394,8353,1148082.998
698,1396,8365,1151379.354
699,1398,8377,1154680.436
700,1400,8389,1157986.243
701,1402,8401,1161296.776
702,1404,8413,1164612.035
703,1406,8425,1167932.018
704,1408,8437,1171256.727
705,1410,8449,1174586.162
706,1412,8461,1177920.322
707,1414,8473,1181259.208
708,1416,8485,1184602.819
709,1418,8497,1187951.155
710,1420,8509,1191304.217
711,1422,8521,1194662.004
712,1424,8533,1198024.517
713,1426,8545,1201391.755
714,1428,8557,1204763.719
715,1430,8569,1208140.408
716,1432,8581,1211521.822
717,1434,8593,1214907.962
718,1436,8605,1218298.827
719,1438,8617,1221694.418
720,1440,8629,1225094.734
721,1442,8641,1228499.776
722,1444,8653,1231909.543
723,1446,8665,1235324.036
724,1448,8677,1238743.254
725,1450,8689,1242167.197
726,1452,8701,1245595.866
727,1454,8713,1249029.26
